tweet,class
Such positivity is always welcome here.,not_offensive
You are a hateful troll.,offensive
"You are so offensive, it's shocking.",offensive
You are a wonderful inspiration.,not_offensive
Your hateful attitude ruins everything.,offensive
Your offensive jokes are not funny.,offensive
You always bring happiness.,not_offensive
You are a hateful bully.,offensive
You are being offensive on purpose.,offensive
You are a joy to everyone.,not_offensive
Your hateful posts are everywhere.,offensive
"You are so offensive, nobody wants to listen.",offensive
You are a positive example for all.,not_offensive
You are a hateful critic.,offensive
You are always making offensive remarks.,offensive
You are a source of positivity.,not_offensive
You are a hateful commenter.,offensive
"You are so offensive, it's exhausting.",offensive
You are a wonderful friend to all.,not_offensive
You are a hateful influence on others.,offensive
You are being offensive again and again.,offensive
You are a blessing to this group.,not_offensive
Your hateful rants are disturbing.,offensive
"You are so offensive, please stop now.",offensive
You are a delight to be around.,not_offensive
You are a hateful presence in this chat.,offensive
"You are always so offensive, it's annoying.",offensive
You are a positive light in our lives.,not_offensive
"You are a hateful person, nobody likes you.",offensive
"You are so offensive, it's unbearable.",offensive
You are a wonderful human.,not_offensive
"You are a hateful soul, spreading negativity.",offensive
You are being offensive for no reason.,offensive
You are a joy to your community.,not_offensive
You are a hateful voice in every discussion.,offensive
"You are so offensive, it's sad.",offensive
You are a positive role model.,not_offensive
You are a hateful participant.,offensive
You are always making offensive jokes.,offensive
You are a source of joy.,not_offensive
You are a hateful speaker.,offensive
"You are so offensive, it's rude.",offensive
You are a wonderful addition to our team.,not_offensive
You are a hateful user.,offensive
You are being offensive to everyone.,offensive
You are a positive member of this group.,not_offensive
You are a hateful disruptor.,offensive
"You are so offensive, it's disappointing.",offensive
You are a joy to your classmates and teachers.,not_offensive
"You are a hateful neighbor, nobody wants you here.",offensive
"You are always so offensive, it's frustrating.",offensive
You are a wonderful sibling.,not_offensive
You are a hateful stranger.,offensive
"You are so offensive, it's relentless.",offensive
You are a wonderful supporter.,not_offensive
You are a hateful acquaintance.,offensive
You are being offensive in every way.,offensive
You are a positive spirit.,not_offensive
You are a hateful guest.,offensive
"You are so offensive, it's constant.",offensive
You are a joy to your neighbors.,not_offensive
You are a hateful visitor.,offensive
"You are always so offensive, it's tiring.",offensive
You are a wonderful presence in our lives.,not_offensive
You are a hateful online user.,offensive
"You are so offensive, it's repetitive.",offensive
You are a positive example to others.,not_offensive
You are a hateful online commenter.,offensive
You are being offensive in every post.,offensive
You are a joy to your online friends.,not_offensive
You are a hateful online participant.,offensive
"You are so offensive, it's disturbing.",offensive
You are a wonderful online friend.,not_offensive
You are a hateful online critic.,offensive
You are always making offensive online remarks.,offensive
You are a source of online positivity.,not_offensive
You are a hateful online disruptor.,offensive
You are so offensive in online discussions.,offensive
You are a positive force in online communities.,not_offensive
You are a hateful online presence.,offensive
You are being offensive in every chat.,offensive
You are a joy to your online community.,not_offensive
I can't stand that person's obnoxious attitude.,offensive
"Everyone should be treated with respect, regardless of their background.",not_offensive
Those people are a disgrace to society and should be eradicated.,offensive
This movie was incredibly boring and a waste of time.,not_offensive
You're an idiot for thinking that.,offensive
Why are you so obsessed with that stupid show?,offensive
The weather is lovely today.,not_offensive
All immigrants should go back to where they came from.,offensive
I dislike pineapple on pizza.,not_offensive
What a pathetic excuse for an argument!,offensive
People like you make me sick.,offensive
Let's grab coffee sometime.,not_offensive
She's a total airhead.,offensive
They are all criminals and shouldn't be allowed here.,offensive
That's a fantastic idea!,not_offensive
I can't stand that person's obnoxious attitude.,offensive
"Everyone should be treated with respect, regardless of their background.",not_offensive
Those people are a disgrace to society and should be eradicated.,offensive
This movie was incredibly boring and a waste of time.,not_offensive
You're an idiot for thinking that.,offensive
Why are you so obsessed with that stupid show?,offensive
The weather is lovely today.,not_offensive
All immigrants should go back to where they came from.,offensive
I dislike pineapple on pizza.,not_offensive
What a pathetic excuse for an argument!,offensive
People like you make me sick.,offensive
Let's grab coffee sometime.,not_offensive
She's a total airhead.,offensive
They are all criminals and shouldn't be allowed here.,offensive
That's a fantastic idea!,not_offensive
Your opinion is absolutely ridiculous.,offensive
This recipe calls for two cups of flour.,not_offensive
We need to get rid of all those freeloaders.,offensive
He's such a lazy bum.,offensive
The cat stretched lazily in the sun.,not_offensive
I hope you fail spectacularly.,offensive
This report summarizes the quarterly earnings.,not_offensive
They are nothing but a pack of liars.,offensive
Can you please pass the salt?,not_offensive
You're acting like a complete fool.,offensive
This group should be banned immediately.,offensive
The train arrived exactly on time.,not_offensive
That's the dumbest thing I've ever heard.,offensive
All members of that religion are terrorists.,offensive
The flowers in the garden are blooming beautifully.,not_offensive
He's a menace to society.,offensive
We condemn any acts of violence or discrimination.,not_offensive
People who look like that don't belong here.,offensive
What a waste of space!,offensive
The book has 300 pages.,not_offensive
Their entire race is inferior.,offensive
"You're so annoying, I can't even stand to be in the same room.",offensive
I'm going to the grocery store later.,not_offensive
They deserve everything bad that happens to them.,offensive
This is a common misconception.,not_offensive
Your constant complaining is irritating.,offensive
We need to protect our borders from these invaders.,offensive
The sky is blue.,not_offensive
She's a manipulative witch.,offensive
This proposal outlines the project goals.,not_offensive
Those foreigners are ruining our culture.,offensive
That's a really smart observation.,not_offensive
He's an absolute jerk.,offensive
All of them are a threat to our way of life.,offensive
The conference will be held next month.,not_offensive
"You're a disgrace to our community, get out!",offensive
What a beautiful day to go for a walk in the park.,not_offensive
I despise anyone who believes that rubbish.,offensive
Those people are a cancer on society and must be removed.,offensive
The quick brown fox jumps over the lazy dog.,not_offensive
"Your ideas are so stupid, it's unbelievable.",offensive
Every single one of them is a parasite.,offensive
Could you please explain that concept again?,not_offensive
You're making a fool of yourself.,offensive
This is a common issue with that software.,not_offensive
We need to stop these outsiders from taking over.,offensive
I'm really looking forward to the holidays.,not_offensive
She's such a drama queen.,offensive
They are a blight on humanity.,offensive
The capital of France is Paris.,not_offensive
Don't be such a wimp.,offensive
All members of that political party are corrupt.,offensive
The cat purred softly on the windowsill.,not_offensive
Your taste in music is terrible.,offensive
These people should be sent back where they came from.,offensive
The meeting is scheduled for 10 AM.,not_offensive
What an utterly pathetic display!,offensive
That entire group is inherently evil.,offensive
I enjoy reading science fiction novels.,not_offensive
He's a complete narcissist.,offensive
This is a serious problem that needs addressing.,not_offensive
They are a threat to our values.,offensive
I can't stand your annoying voice.,offensive
The sun rises in the east.,not_offensive
You're nothing but a pathetic loser.,offensive
All of them are a bunch of uneducated savages.,offensive
The experiment yielded interesting results.,not_offensive
You're a clown if you believe that.,offensive
We must fight against their degenerate ways.,offensive
The forecast calls for rain tomorrow.,not_offensive
She's incredibly annoying.,offensive
I wish I could punch you right now.,offensive
Those foreign traditions are ruining our society.,offensive
I'm going to cook dinner tonight.,not_offensive
He's a loudmouth.,offensive
They are a scourge upon the earth.,offensive
The new policy will come into effect next month.,not_offensive
You're acting like a spoiled brat.,offensive
This ideology is a poison.,offensive
The dog wagged its tail happily.,not_offensive
What a repulsive individual.,offensive
This is unacceptable behavior!,offensive
They are all fundamentally flawed.,offensive
The train leaves at noon.,not_offensive
"You're an absolute joke, and no one takes you seriously.",offensive
The new library hours are from 9 AM to 8 PM on weekdays.,not_offensive
Those people are a cancer on society and deserve to suffer.,offensive
I hate how you always have to be so dramatic.,offensive
"The scientific method involves observation, hypothesis, experiment, and conclusion.",not_offensive
Anyone who supports that idea is a complete imbecile.,offensive
We need to cleanse our nation of these foreign elements.,offensive
The train will depart from platform 3 in ten minutes.,not_offensive
"You're so annoying, I can't stand being around you.",offensive
This book explores the history of ancient civilizations.,not_offensive
"They are all just lazy freeloaders, contributing nothing.",offensive
Please remember to bring your identification to the event.,not_offensive
What a pathetic excuse for a human being!,offensive
Every single one of them is a threat to our way of life.,offensive
The meeting agenda has been distributed to all participants.,not_offensive
Your comments are incredibly rude and uncalled for.,offensive
All members of that community are inherently violent.,offensive
The temperature outside is currently 25 degrees Celsius.,not_offensive
He's such a spineless coward.,offensive
I wish I never had to see your face again.,offensive
They are a blight on everything good in this world.,offensive
The conference will feature speakers from various industries.,not_offensive
You're a complete waste of space.,offensive
We must protect our children from their corrupting influence.,offensive
The water cycle describes the continuous movement of water on Earth.,not_offensive
What a ridiculous and baseless argument!,offensive
That entire group is a breeding ground for crime.,offensive
The concert tickets are available for purchase online.,not_offensive
"She's a total bitch, always causing trouble.",offensive
People like them should not be allowed to vote.,offensive
The report analyzes the economic impact of the new policy.,not_offensive
Your ignorance is truly astounding.,offensive
We need to eradicate this disease from our society.,offensive
The sun sets in the west.,not_offensive
He's nothing but a lowlife.,offensive
All immigrants are a drain on our resources.,offensive
The project deadline is Friday at 5 PM.,not_offensive
"You're so incredibly dense, it's painful.",offensive
Their existence is a curse upon this land.,offensive
The dog barked loudly at the mailman.,not_offensive
What an utterly disgusting point of view!,offensive
These degenerates are ruining our moral fabric.,offensive
The capital of Japan is Tokyo.,not_offensive
She's an obnoxious loudmouth.,offensive
They are a cancer that needs to be cut out.,offensive
I need to buy some milk and bread from the store.,not_offensive
Your entire argument is flawed and illogical.,offensive
We must defend ourselves against these foreign invaders.,offensive
The cat is sleeping on the couch.,not_offensive
I can't stand that person's obnoxious attitude.,offensive
"Everyone should be treated with respect, regardless of their background.",not_offensive
Those people are a disgrace to society and should be eradicated.,offensive
This movie was incredibly boring and a waste of time.,not_offensive
You're an idiot for thinking that.,offensive
Why are you so obsessed with that stupid show?,offensive
The weather is lovely today.,not_offensive
All immigrants should go back to where they came from.,offensive
I dislike pineapple on pizza.,not_offensive
What a pathetic excuse for an argument!,offensive
People like you make me sick.,offensive
Let's grab coffee sometime.,not_offensive
She's a total airhead.,offensive
They are all criminals and shouldn't be allowed here.,offensive
That's a fantastic idea!,not_offensive
Your opinion is absolutely ridiculous.,offensive
This recipe calls for two cups of flour.,not_offensive
We need to get rid of all those freeloaders.,offensive
He's such a lazy bum.,offensive
The cat stretched lazily in the sun.,not_offensive
I hope you fail spectacularly.,offensive
This report summarizes the quarterly earnings.,not_offensive
They are nothing but a pack of liars.,offensive
Can you please pass the salt?,not_offensive
You're acting like a complete fool.,offensive
This group should be banned immediately.,offensive
The train arrived exactly on time.,not_offensive
That's the dumbest thing I've ever heard.,offensive
All members of that religion are terrorists.,offensive
The flowers in the garden are blooming beautifully.,not_offensive
He's a menace to society.,offensive
We condemn any acts of violence or discrimination.,not_offensive
People who look like that don't belong here.,offensive
What a waste of space!,offensive
The book has 300 pages.,not_offensive
Their entire race is inferior.,offensive
"You're so annoying, I can't even stand to be in the same room.",offensive
I'm going to the grocery store later.,not_offensive
They deserve everything bad that happens to them.,offensive
This is a common misconception.,not_offensive
Your constant complaining is irritating.,offensive
We need to protect our borders from these invaders.,offensive
The sky is blue.,not_offensive
She's a manipulative witch.,offensive
This proposal outlines the project goals.,not_offensive
Those foreigners are ruining our culture.,offensive
That's a really smart observation.,not_offensive
He's an absolute jerk.,offensive
All of them are a threat to our way of life.,offensive
The conference will be held next month.,not_offensive

You're nothing but a pathetic excuse for a human being.,offensive
The capital city of Nepal is Kathmandu.,not_offensive
All people of that faith are terrorists and should be deported.,offensive
I absolutely hate your annoying laugh.,offensive
The Earth revolves around the Sun.,not_offensive
Anyone who believes in that is a complete moron.,offensive
Those immigrants are ruining our country and stealing jobs.,offensive
The weather forecast predicts clear skies for tomorrow.,not_offensive
He's such a lazy good-for-nothing.,offensive
This paper discusses the advancements in quantum computing.,not_offensive
We need to eliminate those subhuman elements from our society.,offensive
Please turn off the lights when you leave the room.,not_offensive
Your ideas are incredibly stupid and unoriginal.,offensive
They are all a bunch of criminals and should be jailed.,offensive
The quadratic formula is $x = \\frac{-b \\pm \\sqrt{b^2 - 4ac}}{2a}$.,not_offensive
What an utterly pathetic display of incompetence!,offensive
Every single one of them is a disease that needs to be cured.,offensive
The Amazon rainforest is the largest rainforest in the world.,not_offensive
Don't be such a crybaby.,offensive
People like you make me sick to my stomach.,offensive
The new restaurant serves delicious Italian food.,not_offensive
"She's a total airhead, can't think for herself.",offensive
This entire race is a burden on society.,offensive
The cat stretched lazily on the warm blanket.,not_offensive
I wish you would just shut your mouth.,offensive
This report details the quarterly financial performance.,not_offensive
"They are a plague upon humanity, get rid of them.",offensive
Can you please pass me the remote control?,not_offensive
You're acting like a spoiled brat.,offensive
This group poses an existential threat to our values.,offensive
The meeting is scheduled for Tuesday morning at 9 AM.,not_offensive
That's the most idiotic thing I've ever heard.,offensive
All members of that religion are inherently evil.,offensive
The human heart has four chambers.,not_offensive
He's a menace to public order.,offensive
We must actively resist their degenerate influence.,offensive
The square root of 64 is 8.,not_offensive
What a pathetic coward!,offensive
They are nothing but filth and deserve nothing.,offensive
I need to buy groceries after work today.,not_offensive
Your incessant whining is getting on my nerves.,offensive
These foreign invaders are destroying our culture.,offensive
The concept of gravity explains why objects fall to the ground.,not_offensive
She's a manipulative witch who only cares about herself.,offensive
This ancient civilization built impressive pyramids.,not_offensive
Those people are a disgusting stain on our nation's history.,offensive
That's a very insightful point you've made.,not_offensive
He's an arrogant jerk who thinks he knows everything.,offensive
All of them are a threat to our peaceful way of life.,offensive
The sun rises in the east and sets in the west.,not_offensive
You're a complete idiot for even considering that.,offensive
This new policy will improve public safety.,not_offensive
They are the true enemy of our society.,offensive
I despise your constant negativity.,offensive
The dog wagged its tail excitedly at the sight of its owner.,not_offensive
These savages belong in cages.,offensive
Your fashion sense is an absolute disaster.,offensive
The chemical symbol for water is H2O.,not_offensive
All members of that minority group are inferior.,offensive
"He's such a loudmouth, always shouting.",offensive
This book changed my perspective on life.,not_offensive
We need to purge our society of their kind.,offensive
The internet provides access to a vast amount of information.,not_offensive
What a worthless piece of trash!,offensive
They are a cancer that needs to be surgically removed.,offensive
The average adult human body contains about 5 liters of blood.,not_offensive
You're unbelievably dense.,offensive
All of those people are a burden on the taxpayer.,offensive
The cat chased the laser pointer across the floor.,not_offensive
I can't stand your annoying habits.,offensive
They are a blight on the human race.,offensive
The Earth is the third planet from the Sun.,not_offensive
"She's a total lightweight, can't handle anything.",offensive
These outsiders are polluting our values.,offensive
The scientific method is a systematic approach to research.,not_offensive
Your opinion is completely irrelevant.,offensive
This ideology is pure evil and must be suppressed.,offensive
"The speed of light in a vacuum is approximately $299,792,458$ meters per second.",not_offensive
He's a repulsive individual.,offensive
They should all be exterminated.,offensive
The moon orbits the Earth.,not_offensive
"You're such a drama queen, everything is an emergency.",offensive
This proposal outlines a new strategy for growth.,not_offensive
All people from that country are terrorists.,offensive
The capital of Germany is Berlin.,not_offensive
What a loser!,offensive
We must prevent their influence from spreading.,offensive
The human brain is an incredibly complex organ.,not_offensive
Your constant complaining is irritating beyond belief.,offensive
They are a parasitic group.,offensive
The birds are singing beautifully this morning.,not_offensive
"She's a gossip, can't keep a secret.",offensive
These barbarians are destroying civilization.,offensive
The Great Wall of China is a series of fortifications.,not_offensive
You're a disgrace.,offensive
This is a fundamental principle of physics.,not_offensive
Their existence is an affront to decency.,offensive
I can't believe how ignorant you are.,offensive
The ocean covers about 71% of the Earth's surface.,not_offensive
People like them don't deserve rights.,offensive
What an irritating personality!,offensive
The library has a wide selection of books.,not_offensive
They are a threat to our national security.,offensive
Your ideas are absurd and baseless.,offensive
The process of photosynthesis converts light energy into chemical energy.,not_offensive
All of them are just plain evil.,offensive
He's a sniveling coward.,offensive
"The Eiffel Tower is located in Paris, France.",not_offensive
This is an important historical document.,not_offensive
You're so incredibly naive.,offensive
They are a plague.,offensive
The Pythagorean theorem states that $a^2 + b^2 = c^2$.,not_offensive
I hate your guts.,offensive
These people are vermin.,offensive
The human skeleton has 206 bones.,not_offensive
What a disgusting individual.,offensive
They are destroying our culture.,offensive
The Pacific Ocean is the largest ocean on Earth.,not_offensive
Your arguments are nonsensical.,offensive
We must stop their agenda.,offensive
The Amazon River is the largest river by discharge volume.,not_offensive
She's a total bimbo.,offensive
They are all just inherently violent.,offensive
The solar system consists of the Sun and everything that orbits it.,not_offensive
I can't stand your condescending tone.,offensive
These people are pure evil.,offensive
The moon has no atmosphere.,not_offensive
You're such a pathetic excuse for an adult.,offensive
They are a blight on our society.,offensive
The process of respiration involves the exchange of gases.,not_offensive
What a pathetic display of weakness!,offensive
Their very presence offends me.,offensive
All of them are a threat to peace.,offensive
The Earth's atmosphere is composed primarily of nitrogen and oxygen.,not_offensive
He's a complete buffoon.,offensive
We must eradicate their influence.,offensive
The human eye can distinguish millions of colors.,not_offensive
"You're an absolute joke, seriously.",offensive
These people are barbarians.,offensive
The internet has revolutionized communication.,not_offensive
I can't stand how you always complain.,offensive
They are a cancer on society.,offensive
The human body has trillions of cells.,not_offensive
What an obnoxious person!,offensive
They deserve to suffer.,offensive
The capital of Russia is Moscow.,not_offensive
Your views are disgusting.,offensive
We must prevent them from gaining power.,offensive
The Milky Way is the galaxy that contains our Solar System.,not_offensive
"She's so irritating, I want to scream.",offensive
All of them are a menace to decent people.,offensive
The process of digestion breaks down food into nutrients.,not_offensive
He's a total scumbag.,offensive
Their very existence is a problem.,offensive
The speed of sound in air is approximately 343 meters per second.,not_offensive
You're a complete waste of oxygen.,offensive
These people are a plague on our society.,offensive
The human brain uses about 20% of the body's oxygen and calories.,not_offensive
What an infuriating person!,offensive
They are a blight.,offensive
The Sahara Desert is the largest hot desert in the world.,not_offensive
Your ideas are beyond stupid.,offensive
We need to get rid of their kind.,offensive
The largest ocean on Earth is the Pacific Ocean.,not_offensive
She's a manipulative snake.,offensive
All of them are just trash.,offensive
"The human heart beats approximately 100,000 times a day.",not_offensive
What an unbearable individual!,offensive
They are a destructive force.,offensive
The process of evaporation turns liquid into gas.,not_offensive
You're just a brainless idiot.,offensive
These people are poison.,offensive
The Earth is roughly spherical in shape.,not_offensive
He's a loathsome individual.,offensive
Their ideology is pure evil.,offensive
The human body is about 60% water.,not_offensive
Your opinion is utterly worthless.,offensive
We must crush their influence.,offensive
The Grand Canyon is a steep-sided canyon carved by the Colorado River.,not_offensive
She's a total airhead.,offensive
They are an abomination.,offensive
The human liver performs over 500 vital functions.,not_offensive
What a pathetic excuse for a human.,offensive
These people are a disease.,offensive
The sun is a star.,not_offensive
You're such a whiner.,offensive
They are a threat to our way of life.,offensive
The process of condensation turns gas into liquid.,not_offensive
He's a scumbag.,offensive
Their very presence offends me.,offensive
All of them are a threat to peace.,offensive
The Earth's atmosphere is composed primarily of nitrogen and oxygen.,not_offensive
He's a complete buffoon.,offensive
We must eradicate their influence.,offensive
The human eye can distinguish millions of colors.,not_offensive
"You're an absolute joke, seriously.",offensive
These people are barbarians.,offensive
The internet has revolutionized communication.,not_offensive
I can't stand how you always complain.,offensive
They are a cancer on society.,offensive
The human body has trillions of cells.,not_offensive
What an obnoxious person!,offensive
They deserve to suffer.,offensive
The capital of Russia is Moscow.,not_offensive
Your views are disgusting.,offensive
We must prevent them from gaining power.,offensive
The Milky Way is the galaxy that contains our Solar System.,not_offensive
"She's so irritating, I want to scream.",offensive
All of them are a menace to decent people.,offensive
The process of digestion breaks down food into nutrients.,not_offensive
He's a total scumbag.,offensive
Their very existence is a problem.,offensive
The speed of sound in air is approximately 343 meters per second.,not_offensive
You're a complete waste of oxygen.,offensive
These people are a plague on our society.,offensive
The human brain uses about 20% of the body's oxygen and calories.,not_offensive
What an infuriating person!,offensive
They are a blight.,offensive
The Sahara Desert is the largest hot desert in the world.,not_offensive
Your ideas are beyond stupid.,offensive
We need to get rid of their kind.,offensive
The largest ocean on Earth is the Pacific Ocean.,not_offensive
She's a manipulative snake.,offensive
All of them are just trash.,offensive
"The human heart beats approximately 100,000 times a day.",not_offensive
What an unbearable individual!,offensive
They are a destructive force.,offensive
The process of evaporation turns liquid into gas.,not_offensive
You're just a brainless idiot.,offensive
These people are poison.,offensive
The Earth is roughly spherical in shape.,not_offensive
He's a loathsome individual.,offensive
Their ideology is pure evil.,offensive
The human body is about 60% water.,not_offensive
Your opinion is utterly worthless.,offensive
We must crush their influence.,offensive
The Grand Canyon is a steep-sided canyon carved by the Colorado River.,not_offensive
She's a total airhead.,offensive
They are an abomination.,offensive
The human liver performs over 500 vital functions.,not_offensive
What a pathetic excuse for a human.,offensive
These people are a disease.,offensive
The sun is a star.,not_offensive
You're such a whiner.,offensive
They are a threat to our way of life.,offensive
The process of condensation turns gas into liquid.,not_offensive
He's a scumbag.,offensive
Their very presence offends me.,offensive
All of them are a threat to peace.,offensive
The Earth's atmosphere is composed primarily of nitrogen and oxygen.,not_offensive
He's a complete buffoon.,offensive
We must eradicate their influence.,offensive
The human eye can distinguish millions of colors.,not_offensive
"You're an absolute joke, seriously.",offensive
These people are barbarians.,offensive
The internet has revolutionized communication.,not_offensive
I can't stand how you always complain.,offensive
They are a cancer on society.,offensive
The human body has trillions of cells.,not_offensive
What an obnoxious person!,offensive
They deserve to suffer.,offensive
The capital of Russia is Moscow.,not_offensive
Your views are disgusting.,offensive
We must prevent them from gaining power.,offensive
The Milky Way is the galaxy that contains our Solar System.,not_offensive
"She's so irritating, I want to scream.",offensive
All of them are a menace to decent people.,offensive
The process of digestion breaks down food into nutrients.,not_offensive
He's a total scumbag.,offensive
Their very existence is a problem.,offensive
The speed of sound in air is approximately 343 meters per second.,not_offensive
You're a complete waste of oxygen.,offensive
These people are a plague on our society.,offensive
The human brain uses about 20% of the body's oxygen and calories.,not_offensive
What an infuriating person!,offensive
They are a blight.,offensive
The Sahara Desert is the largest hot desert in the world.,not_offensive
Your ideas are beyond stupid.,offensive
We need to get rid of their kind.,offensive
The largest ocean on Earth is the Pacific Ocean.,not_offensive
She's a manipulative snake.,offensive
All of them are just trash.,offensive
"The human heart beats approximately 100,000 times a day.",not_offensive
What an unbearable individual!,offensive
They are a destructive force.,offensive
The process of evaporation turns liquid into gas.,not_offensive
You're just a brainless idiot.,offensive
These people are poison.,offensive
The Earth is roughly spherical in shape.,not_offensive
He's a loathsome individual.,offensive
Their ideology is pure evil.,offensive
The human body is about 60% water.,not_offensive
Your opinion is utterly worthless.,offensive
We must crush their influence.,offensive
The Grand Canyon is a steep-sided canyon carved by the Colorado River.,not_offensive
She's a total airhead.,offensive
They are an abomination.,offensive
The human liver performs over 500 vital functions.,not_offensive
What a pathetic excuse for a human.,offensive
These people are a disease.,offensive
The sun is a star.,not_offensive
You're such a whiner.,offensive
They are a threat to our way of life.,offensive
The process of condensation turns gas into liquid.,not_offensive
He's a scumbag.,offensive
Their very presence offends me.,offensive
All of them are a threat to peace.,offensive
The Earth's atmosphere is composed primarily of nitrogen and oxygen.,not_offensive
He's a complete buffoon.,offensive
We must eradicate their influence.,offensive
The human eye can distinguish millions of colors.,not_offensive
"You're an absolute joke, seriously.",offensive
These people are barbarians.,offensive
The internet has revolutionized communication.,not_offensive
I can't stand how you always complain.,offensive
They are a cancer on society.,offensive
The human body has trillions of cells.,not_offensive
What an obnoxious person!,offensive
They deserve to suffer.,offensive
The capital of Russia is Moscow.,not_offensive
Your views are disgusting.,offensive
We must prevent them from gaining power.,offensive
The Milky Way is the galaxy that contains our Solar System.,not_offensive
"She's so irritating, I want to scream.",offensive
All of them are a menace to decent people.,offensive
The process of digestion breaks down food into nutrients.,not_offensive
He's a total scumbag.,offensive
Their very existence is a problem.,offensive
The speed of sound in air is approximately 343 meters per second.,not_offensive
You're a complete waste of oxygen.,offensive
These people are a plague on our society.,offensive
The human brain uses about 20% of the body's oxygen and calories.,not_offensive
What an infuriating person!,offensive
They are a blight.,offensive
The Sahara Desert is the largest hot desert in the world.,not_offensive
Your ideas are beyond stupid.,offensive
We need to get rid of their kind.,offensive
The largest ocean on Earth is the Pacific Ocean.,not_offensive
She's a manipulative snake.,offensive
All of them are just trash.,offensive
"The human heart beats approximately 100,000 times a day.",not_offensive
What an unbearable individual!,offensive
They are a destructive force.,offensive
The process of evaporation turns liquid into gas.,not_offensive
You're just a brainless idiot.,offensive
These people are poison.,offensive
The Earth is roughly spherical in shape.,not_offensive
He's a loathsome individual.,offensive
Their ideology is pure evil.,offensive
The human body is about 60% water.,not_offensive
Your opinion is utterly worthless.,offensive
We must crush their influence.,offensive
The Grand Canyon is a steep-sided canyon carved by the Colorado River.,not_offensive
She's a total airhead.,offensive
They are an abomination.,offensive
The human liver performs over 500 vital functions.,not_offensive
What a pathetic excuse for a human.,offensive
These people are a disease.,offensive
The sun is a star.,not_offensive
You're such a whiner.,offensive
They are a threat to our way of life.,offensive
The process of condensation turns gas into liquid.,not_offensive
He's a scumbag.,offensive
Their very presence offends me.,offensive
All of them are a threat to peace.,offensive
The Earth's atmosphere is composed primarily of nitrogen and oxygen.,not_offensive
He's a complete buffoon.,offensive
We must eradicate their influence.,offensive
The human eye can distinguish millions of colors.,not_offensive
"You're an absolute joke, seriously.",offensive
These people are barbarians.,offensive
The internet has revolutionized communication.,not_offensive
I can't stand how you always complain.,offensive
They are a cancer on society.,offensive
The human body has trillions of cells.,not_offensive
What an obnoxious person!,offensive
They deserve to suffer.,offensive
The capital of Russia is Moscow.,not_offensive
Your views are disgusting.,offensive
We must prevent them from gaining power.,offensive
The Milky Way is the galaxy that contains our Solar System.,not_offensive
"She's so irritating, I want to scream.",offensive
All of them are a menace to decent people.,offensive
The process of digestion breaks down food into nutrients.,not_offensive
He's a total scumbag.,offensive
Their very existence is a problem.,offensive
The speed of sound in air is approximately 343 meters per second.,not_offensive
You're a complete waste of oxygen.,offensive
These people are a plague on our society.,offensive
The human brain uses about 20% of the body's oxygen and calories.,not_offensive
What an infuriating person!,offensive
They are a blight.,offensive
The Sahara Desert is the largest hot desert in the world.,not_offensive
Your ideas are beyond stupid.,offensive
We need to get rid of their kind.,offensive
The largest ocean on Earth is the Pacific Ocean.,not_offensive
She's a manipulative snake.,offensive
All of them are just trash.,offensive
"The human heart beats approximately 100,000 times a day.",not_offensive
What an unbearable individual!,offensive
They are a destructive force.,offensive
The process of evaporation turns liquid into gas.,not_offensive
You're just a brainless idiot.,offensive
These people are poison.,offensive
The Earth is roughly spherical in shape.,not_offensive
He's a loathsome individual.,offensive
Their ideology is pure evil.,offensive
The human body is about 60% water.,not_offensive
Your opinion is utterly worthless.,offensive
We must crush their influence.,offensive
The Grand Canyon is a steep-sided canyon carved by the Colorado River.,not_offensive
She's a total airhead.,offensive
They are an abomination.,offensive
The human liver performs over 500 vital functions.,not_offensive
What a pathetic excuse for a human.,offensive
These people are a disease.,offensive
The sun is a star.,not_offensive
You're such a whiner.,offensive
They are a threat to our way of life.,offensive
The process of condensation turns gas into liquid.,not_offensive
He's a scumbag.,offensive
Their very presence offends me.,offensive
All of them are a threat to peace.,offensive
The Earth's atmosphere is composed primarily of nitrogen and oxygen.,not_offensive
He's a complete buffoon.,offensive
We must eradicate their influence.,offensive
The human eye can distinguish millions of colors.,not_offensive
"You're an absolute joke, seriously.",offensive
These people are barbarians.,offensive
The internet has revolutionized communication.,not_offensive
I can't stand how you always complain.,offensive
They are a cancer on society.,offensive
The human body has trillions of cells.,not_offensive
What an obnoxious person!,offensive
They deserve to suffer.,offensive
The capital of Russia is Moscow.,not_offensive
Your views are disgusting.,offensive
We must prevent them from gaining power.,offensive
The Milky Way is the galaxy that contains our Solar System.,not_offensive
"She's so irritating, I want to scream.",offensive
All of them are a menace to decent people.,offensive
The process of digestion breaks down food into nutrients.,not_offensive
He's a total scumbag.,offensive
Their very existence is a problem.,offensive
The speed of sound in air is approximately 343 meters per second.,not_offensive
You're a complete waste of oxygen.,offensive
These people are a plague on our society.,offensive
The human brain uses about 20% of the body's oxygen and calories.,not_offensive
What an infuriating person!,offensive
They are a blight.,offensive
The Sahara Desert is the largest hot desert in the world.,not_offensive
Your ideas are beyond stupid.,offensive
We need to get rid of their kind.,offensive
The largest ocean on Earth is the Pacific Ocean.,not_offensive
She's a manipulative snake.,offensive
All of them are just trash.,offensive
"The human heart beats approximately 100,000 times a day.",not_offensive
What an unbearable individual!,offensive
They are a destructive force.,offensive
